,CME,t0,dt0,pa,da,v,dv,minv,maxv,halo?,earth_direction,estimated_arrival_at_L1
1416,118,2024-08-22 08:36:00,5,187,288,1644,778,176,1953,IV,Likely Earth-Directed,2024-08-23 09:37:25.158151
1488,38,2024-09-09 02:48:00,8,144,360,1077,529,279,1953,IV,Likely Earth-Directed,2024-09-10 16:59:51.606314
1512,62,2024-09-13 04:17:00,9,144,360,1683,817,168,1886,IV,Likely Earth-Directed,2024-09-14 04:43:37.623292
1524,74,2024-09-14 16:48:00,4,300,210,624,502,249,1953,III,Possibly Earth-Directed,2024-09-17 10:43:39.743590
1672,95,2024-10-24 03:48:00,6,176,222,844,401,117,1785,III,Possibly Earth-Directed,2024-10-26 04:32:33.933649
1751,59,2024-11-12 14:48:00,4,137,228,1644,267,919,1953,III,Possibly Earth-Directed,2024-11-13 15:49:25.158151
1807,115,2024-11-21 19:00:00,8,173,292,1179,562,179,1953,IV,Likely Earth-Directed,2024-11-23 05:53:34.927905
1930,76,2024-12-15 14:36:00,2,85,212,726,299,244,1562,III,Possibly Earth-Directed,2024-12-17 23:15:54.490358
2245,5,2025-02-02 05:24:00,7,246,190,679,522,105,1953,III,Possibly Earth-Directed,2025-02-04 17:59:14.874816
2249,9,2025-02-02 21:00:00,5,187,200,437,151,103,781,III,Possibly Earth-Directed,2025-02-06 19:08:21.601831
2275,35,2025-02-06 13:36:00,3,175,300,1842,128,1565,1957,IV,Likely Earth-Directed,2025-02-07 11:56:01.737242
2524,140,2025-03-28 15:24:00,9,144,360,1644,556,328,1953,IV,Likely Earth-Directed,2025-03-29 16:25:25.158151
2622,76,2025-04-13 07:00:00,6,175,228,416,98,150,637,III,Possibly Earth-Directed,2025-04-17 09:53:29.615385
2866,153,2025-05-30 23:48:00,5,188,230,822,647,206,1967,III,Possibly Earth-Directed,2025-06-02 01:50:50.316302
